Torch: 2.12.0+cu130
Using GPU:  NVIDIA L40S
[oracle] IQN uncertainty oracle loaded: models/grid_iqn.pth (width_beta=0.0, width_gamma=1.0)
/u/ibrahim.eisawy/Neural-Guided-Search/venv/lib/python3.10/site-packages/pymimir_rgnn/model.py:162: UserWarning: index_reduce() is in beta and the API may change at any time. (Triggered internally at /pytorch/aten/src/ATen/native/cuda/Indexing.cu:1541.)
  exps_max.index_reduce_(0, output_indices, output_messages, reduce="amax", include_self=False)
  [sim 53000] root visits=53000, unique states=3142, generated=3141
  [sim 53500] root visits=53500, unique states=3146, generated=3145
  [sim 54000] root visits=54000, unique states=3151, generated=3150
  [sim 54500] root visits=54500, unique states=3156, generated=3155
  [sim 55000] root visits=55000, unique states=3160, generated=3159
  [sim 55500] root visits=55500, unique states=3167, generated=3166
  [sim 56000] root visits=56000, unique states=3173, generated=3172
  [sim 56500] root visits=56500, unique states=3179, generated=3178
  [sim 57000] root visits=57000, unique states=3185, generated=3184
  [sim 57500] root visits=57500, unique states=3188, generated=3187
  [sim 58000] root visits=58000, unique states=3195, generated=3194
  [sim 58500] root visits=58500, unique states=3202, generated=3201
  [sim 59000] root visits=59000, unique states=3207, generated=3206
  [sim 59500] root visits=59500, unique states=3215, generated=3214
  [sim 60000] root visits=60000, unique states=3221, generated=3220
  [sim 60500] root visits=60500, unique states=3226, generated=3225
  [sim 61000] root visits=61000, unique states=3230, generated=3229
  [sim 61500] root visits=61500, unique states=3238, generated=3237
  [sim 62000] root visits=62000, unique states=3246, generated=3245
  [sim 62500] root visits=62500, unique states=3252, generated=3251
  [sim 63000] root visits=63000, unique states=3258, generated=3257
  [sim 63500] root visits=63500, unique states=3261, generated=3260
  [sim 64000] root visits=64000, unique states=3265, generated=3264
  [sim 64500] root visits=64500, unique states=3269, generated=3268
  [sim 65000] root visits=65000, unique states=3274, generated=3273
[Final] Expanded: 3274, Generated: 3274
[search done] simulations=65224, unique states generated=3274
Failed to find a solution!
